cantonId;types.sport;types.spring;types.summer;types.autumn;types.christmas
AG;-;07.04.2023-23.04.2023;22.07.2023-13.08.2023;30.09.2023-15.10.2023;23.12.2023-07.01.2024
AI1;17.02.2023-26.02.2023;07.04.2023-23.04.2023;01.07.2023-13.08.2023;07.10.2023-22.10.2023;23.12.2023-07.01.2024
AI2;28.01.2023-05.02.2023;07.04.2023-23.04.2023;08.07.2023-13.08.2023;30.09.2023-22.10.2023;23.12.2023-07.01.2024
AR;-;07.04.2023-23.04.2023;08.07.2023-13.08.2023;07.10.2023-22.10.2023;23.12.2023-07.01.2024
BE1;-;07.04.2023-23.04.2023;08.07.2023-13.08.2023;23.09.2023-15.10.2023;23.12.2023-07.01.2024
BE2;-;07.04.2023-23.04.2023;08.07.2023-20.08.2023;07.10.2023-22.10.2023;23.12.2023-07.01.2024
BL;18.02.2023-05.03.2023;01.04.2023-16.04.2023;01.07.2023-13.08.2023;30.09.2023-15.10.2023;23.12.2023-07.01.2024
BL2;18.02.2023-05.03.2023;01.04.2023-16.04.2023;08.07.2023-13.08.2023;30.09.2023-22.10.2023;23.12.2023-07.01.2024
BS;18.02.2023-05.03.2023;01.04.2023-16.04.2023;01.07.2023-13.08.2023;30.09.2023-15.10.2023;23.12.2023-07.01.2024
FL;18.02.2023-26.02.2023;06.04.2023-23.04.2023;08.07.2023-20.08.2023;07.10.2023-22.10.2023;23.12.2023-07.01.2024
FR1;18.02.2023-26.02.2023;07.04.2023-23.04.2023;08.07.2023-23.08.2023;14.10.2023-29.10.2023;23.12.2023-07.01.2024
FR2;18.02.2023-26.02.2023;07.04.2023-23.04.2023;01.07.2023-23.08.2023;14.10.2023-29.10.2023;23.12.2023-07.01.2024
GE;18.02.2023-26.02.2023;07.04.2023-23.04.2023;01.07.2023-20.08.2023;21.10.2023-29.10.2023;23.12.2023-07.01.2024
GL;28.01.2023-05.02.2023;07.04.2023-23.04.2023;01.07.2023-13.08.2023;07.10.2023-22.10.2023;23.12.2023-07.01.2024
GR1;25.02.2023-05.03.2023;22.04.2023-07.05.2023;01.07.2023-13.08.2023;07.10.2023-22.10.2023;23.12.2023-07.01.2024
GR3;25.02.2023-05.03.2023;29.04.2023-21.05.2023;08.07.2023-13.08.2023;07.10.2023-22.10.2023;23.12.2023-07.01.2024
GR4;18.02.2023-26.02.2023;07.04.2023-16.04.2023;24.06.2023-20.08.2023;28.10.2023-05.11.2023;23.12.2023-07.01.2024
JU;18.02.2023-26.02.2023;07.04.2023-23.04.2023;01.07.2023-20.08.2023;14.10.2023-29.10.2023;23.12.2023-07.01.2024
LU;11.02.2023-26.02.2023;07.04.2023-23.04.2023;08.07.2023-20.08.2023;30.09.2023-15.10.2023;23.12.2023-07.01.2024
NE;25.02.2023-05.03.2023;07.04.2023-23.04.2023;01.07.2023-13.08.2023;30.09.2023-15.10.2023;21.12.2023-07.01.2024
NW1;11.02.2023-26.02.2023;07.04.2023-23.04.2023;08.07.2023-27.08.2023;30.09.2023-15.10.2023;23.12.2023-07.01.2024
NW2;11.02.2023-26.02.2023;07.04.2023-23.04.2023;08.07.2023-20.08.2023;30.09.2023-15.10.2023;23.12.2023-07.01.2024
OW1;11.02.2023-26.02.2023;07.04.2023-23.04.2023;08.07.2023-20.08.2023;30.09.2023-15.10.2023;23.12.2023-07.01.2024
OW2;16.02.2023-26.02.2023;07.04.2023-23.04.2023;01.07.2023-13.08.2023;07.10.2023-29.10.2023;23.12.2023-07.01.2024
SG;-;07.04.2023-23.04.2023;08.07.2023-13.08.2023;30.09.2023-22.10.2023;23.12.2023-07.01.2024
SH;28.01.2023-12.02.2023;15.04.2023-01.05.2023;08.07.2023-13.08.2023;30.09.2023-22.10.2023;23.12.2023-02.01.2024
SO;04.02.2023-19.02.2023;07.04.2023-23.04.2023;08.07.2023-15.08.2023;30.09.2023-22.10.2023;23.12.2023-07.01.2024
SZ;25.02.2023-05.03.2023;29.04.2023-14.05.2023;08.07.2023-13.08.2023;30.09.2023-15.10.2023;23.12.2023-07.01.2024
TG;28.01.2023-05.02.2023;25.03.2023-10.04.2023;08.07.2023-13.08.2023;07.10.2023-22.10.2023;23.12.2023-07.01.2024
TI;18.02.2023-26.02.2023;07.04.2023-16.04.2023;17.06.2023-27.08.2023;28.10.2023-05.11.2023;23.12.2023-07.01.2024
UR;04.03.2023-12.03.2023;22.04.2023-07.05.2023;01.07.2023-20.08.2023;07.10.2023-22.10.2023;23.12.2023-07.01.2024
VD;11.02.2023-19.02.2023;07.04.2023-23.04.2023;01.07.2023-20.08.2023;14.10.2023-29.10.2023;23.12.2023-07.01.2024
VS3;25.02.2023-12.03.2023;13.05.2023-21.05.2023;01.07.2023-15.08.2023;14.10.2023-29.10.2023;23.12.2023-07.01.2024
VS1;04.03.2023-12.03.2023;13.05.2023-29.05.2023;01.07.2023-15.08.2023;14.10.2023-29.10.2023;23.12.2023-07.01.2024
VS2;18.02.2023-26.02.2023;07.04.2023-16.04.2023;24.06.2023-16.08.2023;19.10.2023-29.10.2023;23.12.2023-07.01.2024
ZG;04.02.2023-19.02.2023;15.04.2023-30.04.2023;08.07.2023-20.08.2023;07.10.2023-22.10.2023;23.12.2023-07.01.2024
ZH;-;22.04.2023-07.05.2023;15.07.2023-20.08.2023;07.10.2023-22.10.2023;23.12.2023-07.01.2024
